0.1	0.910093	0.910979
0.2	0.82135	0.823063
0.3	0.734887	0.737316
0.4	0.651733	0.654721
0.5	0.572789	0.57615
0.6	0.4988	0.502335
0.7	0.430335	0.433848
0.8	0.367783	0.371093
0.9	0.311347	0.314305
1	0.261061	0.263552
1.1	0.216805	0.218758
1.2	0.178328	0.179712
1.3	0.145277	0.1461
1.4	0.117222	0.117525
1.5	0.0936858	0.0935325
1.6	0.0741678	0.0736383
1.7	0.058165	0.0573469
1.8	0.0451905	0.0441713
1.9	0.0347865	0.033648
2	0.0265336	0.0253473
2.1	0.0200561	0.018881
2.2	0.0150249	0.0139063
2.3	0.011157	0.0101265
2.4	0.00821296	0.00729036
2.5	0.00599419	0.00518861
2.6	0.00433805	0.00365043
2.7	0.00311351	0.00253869
2.8	0.00221644	0.00174512
2.9	0.00156521	0.0011857
3	0.00109663	0.00079623
3.1	0.000762387	0.000528449
3.2	0.000525996	0.000346619
3.3	0.000360197	0.000224684
3.4	0.000244854	0.00014393
3.5	0.000165251	9.11116e-005
3.6	0.000110741	5.69941e-005
3.7	7.36984e-005	3.52297e-005
3.8	4.87138e-005	2.15179e-005
3.9	3.1985e-005	1.29865e-005
4	2.08639e-005	7.74422e-006
4.1	1.35225e-005	4.56297e-006
4.2	8.70928e-006	2.6564e-006
4.3	5.57475e-006	1.52794e-006
4.4	3.54682e-006	8.68323e-007
4.5	2.24323e-006	4.87539e-007
4.6	1.41052e-006	2.70448e-007
4.7	8.81876e-007	1.48218e-007
4.8	5.4828e-007	8.02511e-008
4.9	3.39011e-007	4.2927e-008
5	2.08491e-007	2.26847e-008
5.1	1.27546e-007	1.18428e-008
5.2	7.76244e-008	6.10789e-009
5.3	4.70028e-008	3.11197e-009
5.4	2.83195e-008	1.56633e-009
5.5	1.69795e-008	7.78811e-010
5.6	1.01317e-008	3.8254e-010
5.7	6.01721e-009	1.85615e-010
5.8	3.55718e-009	8.89692e-011
5.9	2.09338e-009	4.2126e-011
6	1.22648e-009	1.97034e-011
6.1	7.15449e-010	9.10359e-012
6.2	4.15563e-010	4.15488e-012
6.3	2.40364e-010	1.87316e-012
6.4	1.38456e-010	8.34186e-013
6.5	7.94314e-011	3.66958e-013
6.6	4.53885e-011	1.59454e-013
6.7	2.58346e-011	6.84406e-014
6.8	1.46484e-011	2.9017e-014
6.9	8.27454e-012	1.2152e-014
7	4.65681e-012	5.02686e-015
7.1	2.61128e-012	2.05399e-015
7.2	1.45903e-012	8.28991e-016
7.3	8.1236e-013	3.30484e-016
7.4	4.50745e-013	1.30136e-016
7.5	2.49246e-013	5.06159e-017
7.6	1.37353e-013	1.94456e-017
7.7	7.54214e-014	7.37896e-018
7.8	4.12383e-014	2.76572e-018
7.9	2.23961e-014	1.02391e-018
8	1.19741e-014	3.7441e-019
8.1	6.09823e-015	1.35229e-019
8.2	2.55687e-015	4.82418e-020
