0.000000e+000	-1.624308e+001	-1.624308e+001
-1.707570e+000	-4.691292e+000	-8.805356e+000
-2.004321e+000	-5.284770e+000	-9.992378e+000
-2.178977e+000	-5.634038e+000	-1.069109e+001
-2.303196e+000	-5.882482e+000	-1.118762e+001
-2.399674e+000	-6.075426e+000	-1.157347e+001
-2.478566e+000	-6.233215e+000	-1.188885e+001
-2.545307e+000	-6.366691e+000	-1.215023e+001
-2.603144e+000	-6.482367e+000	-1.241093e+001
-2.654177e+000	-6.584429e+000	-1.256054e+001
-2.699838e+000	-6.675753e+000	-1.276434e+001
-2.741152e+000	-6.758379e+000	-1.304670e+001
-2.778874e+000	-6.833825e+000	-1.299888e+001
-2.813581e+000	-6.903238e+000	-1.338906e+001
-2.845718e+000	-6.967512e+000	-1.313810e+001
-2.875640e+000	-7.027356e+000	-1.346248e+001
-2.903633e+000	-7.083341e+000	-1.285999e+001
-2.929930e+000	-7.135935e+000	-1.329108e+001
-2.954725e+000	-7.185525e+000	-1.299403e+001
-2.978181e+000	-7.232437e+000	-1.317950e+001
-3.000434e+000	-7.276943e+000	-1.309598e+001
-3.021603e+000	-7.319281e+000	-1.292276e+001
-3.041787e+000	-7.359648e+000	-1.293406e+001
-3.061075e+000	-7.398227e+000	-1.317882e+001
-3.079543e+000	-7.435161e+000	-1.358880e+001
-3.097257e+000	-7.470589e+000	-1.348403e+001
-3.114277e+000	-7.504630e+000	-1.292002e+001
-3.130655e+000	-7.537386e+000	-1.316073e+001
-3.146438e+000	-7.568951e+000	-1.307694e+001
-3.161667e+000	-7.599409e+000	-1.298710e+001
-3.176381e+000	-7.628837e+000	-1.292183e+001
-3.190612e+000	-7.657301e+000	-1.274799e+001
-3.204391e+000	-7.684860e+000	-1.276922e+001
-3.217747e+000	-7.711568e+000	-1.279235e+001
-3.230704e+000	-7.737484e+000	-1.255777e+001
-3.243286e+000	-7.762652e+000	-1.337708e+001
-3.255514e+000	-7.787102e+000	-1.346055e+001
-3.267406e+000	-7.810890e+000	-1.296108e+001
-3.278982e+000	-7.834043e+000	-1.308614e+001
-3.290257e+000	-7.856592e+000	-1.260853e+001
-3.301247e+000	-7.878571e+000	-1.289229e+001
-3.311966e+000	-7.900009e+000	-1.278419e+001
-3.322426e+000	-7.920922e+000	-1.292318e+001
-3.332640e+000	-7.941350e+000	-1.308913e+001
-3.342620e+000	-7.961316e+000	-1.317330e+001
-3.352375e+000	-7.980837e+000	-1.250104e+001
-3.361917e+000	-7.999917e+000	-1.247651e+001
-3.371253e+000	-8.018570e+000	-1.297200e+001
-3.380392e+000	-8.036855e+000	-1.212491e+001
-3.389343e+000	-8.054779e+000	-1.248584e+001
-3.398114e+000	-8.072301e+000	-1.317907e+001
-3.406710e+000	-8.089487e+000	-1.302323e+001
-3.415140e+000	-8.106349e+000	-1.237483e+001
-3.423410e+000	-8.122883e+000	-1.299667e+001
-3.431525e+000	-8.139114e+000	-1.328148e+001
-3.439491e+000	-8.155059e+000	-1.297283e+001
-3.447313e+000	-8.170701e+000	-1.307817e+001
-3.454997e+000	-8.186061e+000	-1.242161e+001
-3.462548e+000	-8.201169e+000	-1.243301e+001
-3.469969e+000	-8.216003e+000	-1.216019e+001
-3.477266e+000	-8.230656e+000	-1.250248e+001
-3.484442e+000	-8.244982e+000	-1.270615e+001
-3.491502e+000	-8.259033e+000	-1.212186e+001
-3.498448e+000	-8.272968e+000	-1.259057e+001
-3.505286e+000	-8.286670e+000	-1.213658e+001
-3.512017e+000	-8.300145e+000	-1.245923e+001
-3.518646e+000	-8.313398e+000	-1.263545e+001
-3.525174e+000	-8.326429e+000	-1.274698e+001
