0.000000e+000	1.000000e+000
6.211180e-003	9.864945e-001
1.242236e-002	9.731415e-001
1.863354e-002	9.599391e-001
2.484472e-002	9.468856e-001
3.105590e-002	9.339792e-001
3.726708e-002	9.212180e-001
4.347826e-002	9.086005e-001
4.968944e-002	8.961249e-001
5.590062e-002	8.837894e-001
6.211180e-002	8.715925e-001
6.832298e-002	8.595326e-001
7.453416e-002	8.476078e-001
8.074534e-002	8.358168e-001
8.695652e-002	8.241578e-001
9.316770e-002	8.126294e-001
9.937888e-002	8.012300e-001
1.055901e-001	7.899580e-001
1.118012e-001	7.788121e-001
1.180124e-001	7.677906e-001
1.242236e-001	7.568921e-001
1.304348e-001	7.461153e-001
1.366460e-001	7.354586e-001
1.428571e-001	7.249207e-001
1.490683e-001	7.145001e-001
1.552795e-001	7.041956e-001
1.614907e-001	6.940057e-001
1.677019e-001	6.839292e-001
1.739130e-001	6.739647e-001
1.801242e-001	6.641108e-001
1.863354e-001	6.543664e-001
1.925466e-001	6.447302e-001
1.987578e-001	6.352009e-001
2.049689e-001	6.257773e-001
2.111801e-001	6.164581e-001
2.173913e-001	6.072423e-001
2.236025e-001	5.981285e-001
2.298137e-001	5.891157e-001
2.360248e-001	5.802026e-001
2.422360e-001	5.713881e-001
2.484472e-001	5.626712e-001
2.546584e-001	5.540507e-001
2.608696e-001	5.455256e-001
2.670807e-001	5.370946e-001
2.732919e-001	5.287569e-001
2.795031e-001	5.205113e-001
2.857143e-001	5.123568e-001
2.919255e-001	5.042924e-001
2.981366e-001	4.963170e-001
3.043478e-001	4.884298e-001
3.105590e-001	4.806296e-001
3.167702e-001	4.729157e-001
3.229814e-001	4.652869e-001
3.291925e-001	4.577424e-001
3.354037e-001	4.502812e-001
3.416149e-001	4.429024e-001
3.478261e-001	4.356052e-001
3.540373e-001	4.283886e-001
3.602484e-001	4.212518e-001
3.664596e-001	4.141938e-001
3.726708e-001	4.072140e-001
3.788820e-001	4.003113e-001
3.850932e-001	3.934851e-001
3.913043e-001	3.867344e-001
3.975155e-001	3.800585e-001
4.037267e-001	3.734565e-001
4.099379e-001	3.669278e-001
4.161491e-001	3.604715e-001
4.223602e-001	3.540869e-001
4.285714e-001	3.477732e-001
4.347826e-001	3.415298e-001
4.409938e-001	3.353558e-001
4.472050e-001	3.292506e-001
4.534161e-001	3.232134e-001
4.596273e-001	3.172436e-001
4.658385e-001	3.113405e-001
4.720497e-001	3.055034e-001
4.782609e-001	2.997316e-001
4.844720e-001	2.940246e-001
4.906832e-001	2.883816e-001
4.968944e-001	2.828021e-001
5.031056e-001	2.772854e-001
5.093168e-001	2.718308e-001
5.155280e-001	2.664379e-001
5.217391e-001	2.611059e-001
5.279503e-001	2.558344e-001
5.341615e-001	2.506228e-001
5.403727e-001	2.454704e-001
5.465839e-001	2.403767e-001
5.527950e-001	2.353412e-001
5.590062e-001	2.303634e-001
5.652174e-001	2.254427e-001
5.714286e-001	2.205786e-001
5.776398e-001	2.157705e-001
5.838509e-001	2.110181e-001
5.900621e-001	2.063207e-001
5.962733e-001	2.016779e-001
6.024845e-001	1.970893e-001
6.086957e-001	1.925543e-001
6.149068e-001	1.880725e-001
6.211180e-001	1.836434e-001
6.273292e-001	1.792667e-001
6.335404e-001	1.749418e-001
6.397516e-001	1.706684e-001
6.459627e-001	1.664459e-001
6.521739e-001	1.622741e-001
6.583851e-001	1.581525e-001
6.645963e-001	1.540807e-001
6.708075e-001	1.500583e-001
6.770186e-001	1.460849e-001
6.832298e-001	1.421602e-001
6.894410e-001	1.382838e-001
6.956522e-001	1.344553e-001
7.018634e-001	1.306745e-001
7.080745e-001	1.269408e-001
7.142857e-001	1.232541e-001
7.204969e-001	1.196139e-001
7.267081e-001	1.160200e-001
7.329193e-001	1.124721e-001
7.391304e-001	1.089697e-001
7.453416e-001	1.055127e-001
7.515528e-001	1.021008e-001
7.577640e-001	9.873353e-002
7.639752e-001	9.541078e-002
7.701863e-001	9.213223e-002
7.763975e-001	8.889761e-002
7.826087e-001	8.570666e-002
7.888199e-001	8.255913e-002
7.950311e-001	7.945476e-002
8.012422e-001	7.639334e-002
8.074534e-001	7.337461e-002
8.136646e-001	7.039835e-002
8.198758e-001	6.746435e-002
8.260870e-001	6.457239e-002
8.322981e-001	6.172226e-002
8.385093e-001	5.891376e-002
8.447205e-001	5.614671e-002
8.509317e-001	5.342091e-002
8.571429e-001	5.073618e-002
8.633540e-001	4.809234e-002
8.695652e-001	4.548924e-002
8.757764e-001	4.292670e-002
8.819876e-001	4.040457e-002
8.881988e-001	3.792271e-002
8.944099e-001	3.548096e-002
9.006211e-001	3.307919e-002
9.068323e-001	3.071727e-002
9.130435e-001	2.839508e-002
